City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Namatanai,-3.6667,152.4333,83.62,73,99,7.81,PG,1632280939
Husavik,66.0449,-17.3389,35.51,92,100,26.28,IS,1632280939
Bhīmunipatnam,17.8833,83.4333,83.71,73,100,1.63,IN,1632280940
Bakel,14.905,-12.4568,82.26,74,80,12.12,SN,1632280940
Conceição do Araguaia,-8.2578,-49.2647,83.95,34,73,2.91,BR,1632280940
Almeirim,-1.5233,-52.5817,75.04,90,45,4.79,BR,1632280941
Ammon,43.4696,-111.9666,54.82,60,1,3.0,US,1632280941
Zaoyang,32.1272,112.7542,86.25,53,3,12.24,CN,1632280942
Gouré,13.9835,10.2704,81.01,38,100,4.18,NE,1632280942
Puerto del Rosario,28.5004,-13.8627,73.15,64,32,12.66,ES,1632280942
Honiara,-9.4333,159.95,83.86,75,31,3.85,SB,1632280943
Quzhou,28.9594,118.8686,86.13,49,0,1.52,CN,1632280943
Barranca,-10.75,-77.7667,60.96,88,70,7.74,PE,1632280943
Beberibe,-4.1797,-38.1306,80.64,86,26,10.33,BR,1632280944
Beşikdüzü,41.052,39.2284,67.89,90,99,12.24,TR,1632280944
Kaeo,-35.1,173.7833,65.32,80,66,17.54,NZ,1632280944
Provideniya,64.3833,-173.3,35.71,60,75,8.95,RU,1632280945
Tawao,4.2498,117.8871,86.13,73,85,5.28,MY,1632280945
Hasaki,35.7333,140.8333,82.8,82,79,14.58,JP,1632280945
San Quintín,30.4833,-115.95,72.77,75,0,8.99,MX,1632280946
Mahébourg,-20.4081,57.7,70.25,73,40,3.44,MU,1632280946
Doha,25.2867,51.5333,85.98,53,0,6.91,QA,1632280925
Kuril'sk,45.2333,147.8833,60.71,89,100,13.33,RU,1632280947
Batemans Bay,-35.7167,150.1833,72.19,44,8,7.96,AU,1632280947
Vaitape,-16.5167,-151.75,78.96,69,10,4.14,PF,1632280947
Muswellbrook,-32.2667,150.9,65.8,35,6,1.88,AU,1632280948
Vestmanna,62.1564,-7.1664,49.12,81,75,20.71,FO,1632280948
Yichang,30.7144,111.2847,88.18,44,4,1.54,CN,1632280949
Conakry,9.538,-13.6773,77.36,84,90,6.67,GN,1632280949
Ostrovnoy,68.0531,39.5131,34.25,87,3,11.45,RU,1632280949
Port Hardy,50.6996,-127.4199,53.78,94,90,0.0,CA,1632280950
Nantucket,41.2835,-70.0995,70.02,88,75,8.05,US,1632280950
Monrovia,6.3005,-10.7969,77.54,86,95,5.84,LR,1632280951
Barraute,48.4335,-77.6328,52.07,96,100,9.42,CA,1632280951
Moa,20.6569,-74.9403,80.46,87,21,10.02,CU,1632280951
Matadi,-5.8167,13.45,75.94,79,86,7.76,CD,1632280952
Severo-Kuril'sk,50.6789,156.125,52.16,73,71,12.26,RU,1632280952
High Level,58.5169,-117.136,51.91,71,75,2.3,CA,1632280952
Koslan,63.4564,48.8989,32.85,85,15,3.53,RU,1632280953
Impfondo,1.6381,18.0667,70.68,99,100,1.63,CG,1632280953
Bud,39.447,-86.1758,67.12,97,100,11.88,US,1632280953
Wajima,37.4,136.9,77.68,88,75,13.8,JP,1632280954
São João da Barra,-21.6403,-41.0511,71.91,76,42,25.99,BR,1632280954
Coyhaique,-45.5752,-72.0662,46.35,81,0,8.05,CL,1632280955
Natá,8.3333,-80.5167,76.46,90,100,5.46,PA,1632280955
Eilat,29.5581,34.9482,78.64,47,0,13.8,IL,1632280955
Bernalillo,35.05,-106.6673,70.54,32,1,5.01,US,1632280956
Rohatyn,49.409,24.6093,45.45,84,100,9.95,UA,1632280956
Sitka,57.0531,-135.33,53.49,62,75,16.11,US,1632280956
Richards Bay,-28.783,32.0377,62.67,68,100,7.31,ZA,1632280957
Preobrazheniye,42.9019,133.9064,71.26,75,13,7.92,RU,1632280957
Bontang,0.1333,117.5,76.01,85,100,2.89,ID,1632280958
Kingston,17.997,-76.7936,81.55,90,20,1.01,JM,1632280958
Cascais,38.6979,-9.4215,70.47,44,0,8.01,PT,1632280958
Ordzhonīkīdze,52.4411,61.7408,42.22,53,28,4.09,KZ,1632280959
Khairāgarh,26.95,77.8167,85.57,66,26,8.57,IN,1632280959
Soyo,-6.1349,12.3689,74.55,84,98,7.2,AO,1632280959
Karratha,-20.7377,116.8463,86.49,17,100,25.66,AU,1632280960
Cardston,49.2,-113.3019,62.46,50,17,9.44,CA,1632280823
Inverell,-29.7833,151.1167,64.11,30,0,7.0,AU,1632280960
Isangel,-19.55,169.2667,87.91,58,75,5.75,VU,1632280961
Kashan,33.9831,51.4364,75.69,18,0,8.93,IR,1632280961
Dunedin,-45.8742,170.5036,56.8,66,5,8.01,NZ,1632280962
Río Gallegos,-51.6226,-69.2181,44.65,87,0,4.61,AR,1632280962
Cabañas,22.9758,-82.9219,81.07,88,98,8.7,CU,1632280962
Puqi,29.7167,113.8833,88.29,50,0,2.46,CN,1632280963
Sibolga,1.7427,98.7792,85.26,61,51,2.93,ID,1632280963
Abéché,13.8292,20.8324,78.71,63,91,7.47,TD,1632280963
Virginia Beach,36.8529,-75.978,77.05,90,90,1.01,US,1632280846
Kalabo,-14.97,22.6814,66.94,21,20,3.2,ZM,1632280964
Tochio-honchō,37.4667,139.0,73.8,55,35,3.85,JP,1632280964
Beni,0.5,29.4667,61.23,99,84,0.49,CD,1632280965
Sijunjung,-0.6876,100.9537,85.17,62,81,0.43,ID,1632280965
Mathbaria,22.2876,89.9593,77.72,92,100,6.04,BD,1632280965
Moree,-29.4667,149.85,66.22,24,0,14.97,AU,1632280966
Bayshore Gardens,27.4253,-82.5904,78.15,75,99,16.58,US,1632280967
Ahipara,-35.1667,173.1667,64.2,75,95,20.13,NZ,1632280967
Piancó,-7.1981,-37.9292,80.49,49,16,11.81,BR,1632280967
Campbell River,50.0163,-125.2446,56.73,96,75,0.0,CA,1632280922
Hamadan,34.7992,48.5146,60.69,28,0,3.67,IR,1632280968
Zhengjiatun,43.5064,123.5064,54.95,91,100,14.32,CN,1632280968
Erdenet,49.0333,104.0833,44.1,77,100,6.46,MN,1632280969
Marystown,47.1666,-55.1483,56.35,87,0,12.48,CA,1632280969
Codrington,-38.2667,141.9667,58.95,71,96,13.02,AU,1632280970
Gambo,4.6482,22.2633,67.42,99,100,2.13,CF,1632280970
Mangaratiba,-22.9597,-44.0406,70.66,89,98,11.36,BR,1632280971
Tautira,-17.7333,-149.15,80.62,74,5,9.28,PF,1632280971
Japura,-0.3167,102.35,86.52,60,35,4.34,ID,1632280971
Vila Velha,-20.3297,-40.2925,75.15,78,75,20.71,BR,1632280972
Aden,12.7794,45.0367,85.32,74,56,9.55,YE,1632280972
Nome,64.5011,-165.4064,39.27,49,90,10.36,US,1632280711
Tumut,-35.3,148.2167,56.39,63,3,6.04,AU,1632280973
Baykit,61.67,96.37,37.38,99,100,4.27,RU,1632280973
Yerbogachën,61.2767,108.0108,43.5,65,99,7.63,RU,1632280974
Srednekolymsk,67.45,153.6833,40.33,33,71,8.28,RU,1632280974
Kongolo,-5.3833,27.0,75.38,70,78,2.62,CD,1632280974
Bikin,46.8161,134.26,56.48,97,100,2.8,RU,1632280975
Sørland,67.667,12.6934,50.07,89,100,50.53,NO,1632280975
San Antonio,29.4241,-98.4936,86.11,44,20,13.8,US,1632280768
Mogadishu,2.0371,45.3438,76.59,87,60,10.54,SO,1632280975
Aripuanã,-9.1667,-60.6333,78.08,45,39,1.39,BR,1632280976
Kjøllefjord,70.9457,27.3465,39.02,75,0,31.07,NO,1632280976
Bangassou,4.7413,22.8184,66.11,98,85,1.79,CF,1632280977
Lishui,28.4604,119.9103,89.13,46,0,1.21,CN,1632280977
Harper,4.375,-7.7169,76.73,88,83,7.45,LR,1632280977
Khem Karan,31.1428,74.5667,80.69,73,59,7.72,IN,1632280978
Kalmunai,7.4167,81.8167,84.16,70,97,3.0,LK,1632280978
Tobol,52.6844,62.5794,41.47,55,42,4.56,KZ,1632280978
Constitución,-35.3333,-72.4167,53.19,81,100,6.87,CL,1632280979
High Rock,26.6208,-78.2833,78.82,70,100,7.99,BS,1632280979
Zhezkazgan,47.8043,67.7144,43.43,46,46,13.47,KZ,1632280980
Sioux Lookout,50.1001,-91.917,48.58,100,20,2.3,CA,1632280980
Strezhevoy,60.7333,77.5889,33.78,87,42,8.23,RU,1632280980
Sadao,6.6388,100.4234,85.82,70,91,5.97,TH,1632280981
Sinnamary,5.3833,-52.95,78.87,87,84,8.77,GF,1632280981
Le Pont-de-Claix,45.1244,5.7064,55.69,95,0,2.06,FR,1632280981
Nicoya,10.1483,-85.452,74.75,90,100,1.61,CR,1632280982
Bhawānipatna,19.9,83.1667,81.27,81,86,3.29,IN,1632280982
Pochutla,15.7432,-96.4661,79.83,82,88,2.71,MX,1632280983
Parksepa,57.9062,26.9836,42.6,97,100,5.84,EE,1632280983
Prado,-17.3411,-39.2208,72.66,89,27,10.89,BR,1632280983
Kalmar,56.6616,16.3616,49.96,96,90,0.0,SE,1632280984
Sompeta,18.9333,84.6,84.18,75,100,0.81,IN,1632280984
Hanmer Springs,-42.5167,172.8167,51.46,85,100,2.19,NZ,1632280984
Zhanakorgan,43.9098,67.2495,61.88,19,1,9.42,KZ,1632280985
Henties Bay,-22.116,14.2845,53.85,83,1,1.63,NA,1632280985
Kumul,42.8,93.45,73.63,22,77,4.54,CN,1632280986
Hangu,39.2489,117.7892,78.84,56,0,9.91,CN,1632280986
Kumano,34.3442,132.5894,81.52,74,47,7.49,JP,1632280986
Vágur,61.4732,-6.8119,50.47,78,92,38.21,FO,1632280987
Makakilo City,21.3469,-158.0858,82.72,64,20,9.22,US,1632280987
Bonavista,48.6499,-53.1147,59.11,84,15,12.28,CA,1632280987
Alofi,-19.0595,-169.9187,78.69,89,75,13.8,NU,1632280988
Bengkulu,-3.8004,102.2655,83.1,69,68,4.9,ID,1632280988
Salalah,17.0151,54.0924,80.69,83,75,5.75,OM,1632280989
Ancud,-41.8697,-73.8203,43.43,89,0,0.38,CL,1632280989
Samarai,-10.6167,150.6667,78.69,80,87,15.68,PG,1632280989
Nombre de Dios,23.85,-104.2333,73.81,53,91,4.5,MX,1632280991
Mount Gambier,-37.8333,140.7667,57.11,82,90,14.97,AU,1632280991
Ribeira Grande,38.5167,-28.7,71.1,79,15,14.47,PT,1632280991
Tromsø,69.6496,18.957,50.65,81,100,14.03,NO,1632280696
Muli,2.9167,73.5667,84.31,71,8,16.8,MV,1632280992
Ulagan,50.6321,87.9563,37.92,61,70,0.25,RU,1632280992
Makkah al Mukarramah,21.4267,39.8261,86.97,37,25,2.08,SA,1632280993
Washington,47.5001,-120.5015,61.95,49,7,3.04,US,1632280804
Okhotsk,59.3833,143.3,55.96,49,25,10.13,RU,1632280993
Karasjok,69.4719,25.5112,39.31,78,100,17.05,NO,1632280993
Praia da Vitória,38.7333,-27.0667,70.05,83,20,11.16,PT,1632280994
Mildura,-34.2,142.15,64.08,48,90,9.22,AU,1632280994
Belaya Gora,68.5333,146.4167,38.35,48,100,4.45,RU,1632280995
Karaton,-6.3424,106.1045,86.16,63,58,2.28,ID,1632280995
Diego de Almagro,-26.3667,-70.05,55.06,51,28,2.57,CL,1632280995
Limbang,4.75,115.0,86.31,53,83,1.74,MY,1632280996
Sandwick,60.0,-1.25,57.02,77,90,26.46,GB,1632280996
Honolulu,21.3069,-157.8583,84.02,70,40,18.41,US,1632280799
Kaitangata,-46.2817,169.8464,55.96,51,5,2.08,NZ,1632280997
Westport,41.1415,-73.3579,72.81,91,90,5.01,US,1632280997
Iznoski,54.9881,35.3108,40.44,98,100,6.53,RU,1632280997
Gwadar,25.1216,62.3254,81.9,85,52,6.69,PK,1632280998
Jennings,38.7192,-90.2604,64.15,81,75,1.01,US,1632280998
Touros,-5.1989,-35.4608,76.1,86,5,9.48,BR,1632280998
Bow Island,49.8668,-111.3684,64.78,38,9,9.22,CA,1632280999
Pueblo Nuevo,23.3833,-105.3833,59.41,74,82,5.19,MX,1632280999
Znamenskoye,57.1281,73.8282,37.42,98,100,6.78,RU,1632280999
Wilkie,52.4168,-108.7014,54.9,55,100,9.31,CA,1632281000
Klamath Falls,42.2249,-121.7817,67.48,43,1,1.01,US,1632281000
Serebryanyy Bor,56.8,124.8,57.25,59,26,9.82,RU,1632281001
Rameswaram,9.2833,79.3,83.89,73,61,10.25,IN,1632281001
Kilifi,-3.6305,39.8499,73.78,90,20,8.68,KE,1632281001
Flin Flon,54.7682,-101.865,48.83,86,100,10.47,CA,1632281002
Petropavlovsk-Kamchatskiy,53.0452,158.6483,61.39,34,40,13.42,RU,1632280995
Sala Consilina,40.3912,15.5989,56.84,94,35,4.43,IT,1632281002
Eureka,40.8021,-124.1637,65.35,65,18,3.06,US,1632281003
Obala,4.1667,11.5333,71.47,97,100,4.23,CM,1632281003
Hokitika,-42.7167,170.9667,56.1,61,100,7.63,NZ,1632281003
Asău,46.4333,26.4,42.96,84,100,4.54,RO,1632281004
Biltine,14.5333,20.9167,81.95,54,50,3.02,TD,1632281004
Wanaka,-44.7,169.15,50.05,67,8,4.81,NZ,1632281004
Alice Springs,-23.7,133.8833,62.15,20,20,17.27,AU,1632280804
Waingapu,-9.6567,120.2641,86.58,56,99,12.73,ID,1632281005
Portland,45.5234,-122.6762,73.35,56,1,4.61,US,1632280854
Bonito,-21.1211,-56.4819,75.15,62,2,7.83,BR,1632281006
Teya,60.3778,92.6267,33.73,77,100,9.19,RU,1632281006
Ilulissat,69.2167,-51.1,26.62,93,40,4.61,GL,1632281006
Slave Lake,55.2834,-114.769,57.18,67,75,5.75,CA,1632280713
San Patricio,28.017,-97.5169,86.09,71,0,5.7,US,1632281007
Palmer,42.1584,-72.3287,65.46,93,75,0.0,US,1632280777
Chornobay,49.6708,32.3239,43.99,88,100,12.39,UA,1632281008
Bagdarin,54.4333,113.6,47.14,65,42,10.85,RU,1632281008
Lucapa,-8.4192,20.7447,67.57,37,26,4.09,AO,1632281008
College,64.8569,-147.8028,38.86,61,75,8.05,US,1632280839
Sovetskiy,61.3614,63.5842,39.92,85,96,7.23,RU,1632281009
St. Pete Beach,27.7253,-82.7412,78.17,81,99,18.81,US,1632281010
Krasnoborsk,61.5598,45.934,30.27,96,8,4.07,RU,1632281010
Mount Darwin,-16.7725,31.5838,56.55,73,0,5.32,ZW,1632281010
Itarema,-2.9248,-39.9167,77.68,83,11,13.15,BR,1632281011
Akureyri,65.6835,-18.0878,35.53,87,0,5.75,IS,1632281011
Naghadeh,36.9553,45.388,62.37,44,0,1.01,IR,1632281012
Bossangoa,6.4926,17.4552,70.14,96,100,0.51,CF,1632281012
Kushiro,42.975,144.3747,67.15,94,75,14.97,JP,1632281013
Hermosillo,29.0667,-110.9667,92.21,68,75,8.01,MX,1632281013
Kieta,-6.2167,155.6333,84.67,67,82,5.46,PG,1632281013
Kysyl-Syr,63.8986,122.7617,48.72,52,98,11.92,RU,1632281014
Bouca,6.5105,18.2733,70.14,95,100,1.3,CF,1632280724
Kalevala,65.2,31.1667,31.26,94,1,2.39,RU,1632281014
Riyadh,24.6877,46.7219,78.85,18,0,3.44,SA,1632280915
Kemin,42.7846,75.6892,65.41,90,7,1.07,KG,1632281015
Leningradskiy,69.3833,178.4167,27.39,84,100,10.78,RU,1632281015
Stokmarknes,68.5646,14.9108,51.49,90,100,20.51,NO,1632281016
Zyryanka,65.75,150.85,42.21,45,100,3.22,RU,1632281016
Nanton,50.3501,-113.7687,62.65,38,37,6.4,CA,1632281016
Serebryansk,49.6925,83.2892,42.35,63,12,3.2,KZ,1632281017
Harar,9.3094,42.1258,58.64,92,92,4.5,ET,1632281017
Otane,-39.8833,176.6333,67.39,57,100,7.76,NZ,1632281018
Ouargaye,11.5033,0.0572,75.09,86,100,9.46,BF,1632281018
Kimbe,-5.5502,150.1429,84.13,78,78,2.1,PG,1632281018
Ternuvate,47.8305,36.1276,45.88,77,70,8.57,UA,1632281019
Forsytheganj,52.6333,29.7333,39.25,97,100,9.01,BY,1632281019
Abashiri,44.0213,144.2697,79.09,61,75,13.8,JP,1632281019
Sweetwater,25.7634,-80.3731,79.99,86,90,5.75,US,1632281020
Kilindoni,-7.9139,39.6668,76.17,80,6,11.18,TZ,1632281020
Vangaindrano,-23.35,47.6,65.1,92,10,6.4,MG,1632281021
Kholm-Zhirkovskiy,55.5189,33.4731,37.2,98,100,8.59,RU,1632281021
Hofn,64.2539,-15.2082,44.47,64,100,14.52,IS,1632281021
Sumedang,-6.8592,107.9207,83.12,55,100,4.38,ID,1632281022
Whitecourt,54.1502,-115.6855,58.24,54,75,2.3,CA,1632281022
Saint Anthony,45.0205,-93.218,55.71,74,1,1.99,US,1632281022
Itoman,26.1247,127.6694,88.18,79,20,8.05,JP,1632281023
Khandyga,62.6667,135.6,48.25,60,6,0.83,RU,1632281023
Oktyabr'skiy,54.4815,53.471,48.85,43,100,8.3,RU,1632281024
Desaguadero,-16.5656,-69.0417,45.41,63,100,4.03,PE,1632281024
Rawson,-43.3002,-65.1023,57.11,48,0,21.72,AR,1632280853
Deolāli,19.95,73.8333,73.42,91,100,9.28,IN,1632281025
Fort Saint James,54.4333,-124.25,51.06,91,100,3.85,CA,1632281025
Acapulco de Juárez,16.8634,-99.8901,80.37,84,34,6.08,MX,1632281025
Philadelphia,39.9523,-75.1638,71.76,90,90,1.01,US,1632280780
Brookhaven,31.5791,-90.4407,78.46,94,45,6.6,US,1632281026
Pontes e Lacerda,-15.2261,-59.3353,80.92,39,14,2.33,BR,1632281026
Florence,43.7667,11.25,63.64,80,0,3.44,IT,1632281027
Tepechitlán,21.6667,-103.3333,60.93,89,100,6.46,MX,1632281027
Sabang,5.8933,95.3214,82.17,73,100,21.07,ID,1632281027
Jardim,-21.4803,-56.1381,74.86,70,3,5.55,BR,1632281028
Mossamedes,-15.1961,12.1522,61.18,91,5,4.56,AO,1632281028
Arrondissement de Gap,44.6667,6.0,37.83,88,0,3.47,FR,1632281028
Muisne,0.6,-80.0333,73.96,90,100,11.81,EC,1632281029
Chipata,-13.6333,32.65,63.32,47,0,5.7,ZM,1632281029
The Valley,18.217,-63.0578,84.06,76,12,14.52,AI,1632281030
Province of Mantua,45.1667,10.7833,65.35,82,0,1.99,IT,1632281030
Parnamirim,-5.9156,-35.2628,75.54,94,20,4.61,BR,1632280731
Necochea,-38.5473,-58.7368,40.03,78,0,9.44,AR,1632281030
Mahon,39.8885,4.2658,68.56,83,0,9.22,ES,1632281031
Klaksvík,62.2266,-6.589,50.92,77,85,36.35,FO,1632281031
Chuka,-0.3332,37.6459,59.58,86,37,3.87,KE,1632281032
Amboise,47.4125,0.9827,52.34,93,0,4.61,FR,1632281032
Balyqshy,47.0667,51.8667,57.2,33,40,22.37,KZ,1632281032
Ulladulla,-35.35,150.4667,66.87,49,9,7.54,AU,1632281033
Porto Torres,40.835,8.3972,66.38,71,100,4.03,IT,1632281033
Yarim,14.298,44.3779,60.04,58,84,2.57,YE,1632281034
Ambilobe,-13.2,49.05,66.85,79,25,3.18,MG,1632281034
Navlya,52.8281,34.4989,44.74,98,100,1.7,RU,1632281034
Itacarambi,-15.1022,-44.0919,82.83,36,48,2.57,BR,1632281035
Ilek,51.5271,53.3831,51.91,38,100,9.31,RU,1632281035
Goderich,43.7501,-81.7165,61.92,94,100,10.36,CA,1632280975
Cerqueira César,-23.0356,-49.1661,59.07,82,98,20.6,BR,1632281035
Meadow Lake,34.8014,-106.5436,68.68,40,0,10.74,US,1632281036
Mbandaka,0.0487,18.2603,68.74,99,100,0.98,CD,1632281036
Bassila,9.0081,1.6654,71.71,98,100,3.22,BJ,1632281037
Darnah,32.767,22.6367,77.41,77,0,10.09,LY,1632281037
Dapitan,8.6464,123.4208,83.86,69,65,4.05,PH,1632281037
Marondera,-18.1853,31.5519,49.17,91,4,11.52,ZW,1632281038
Sola,-13.8833,167.55,81.27,83,90,0.0,VU,1632281038
Morón,-34.6534,-58.6198,55.15,70,0,1.99,AR,1632280873
Songyuan,45.1171,124.8568,54.9,94,100,11.86,CN,1632281039
İnegöl,40.0781,29.5133,56.48,97,100,1.59,TR,1632281039
Usinsk,65.9939,57.5281,40.6,96,100,6.78,RU,1632281039
Dongsheng,39.8161,109.9776,73.89,21,9,10.56,CN,1632281040
Catuday,16.2923,119.8062,83.62,70,83,5.68,PH,1632281040
La Roche-sur-Yon,46.6667,-1.4333,53.04,93,0,5.75,FR,1632281041
Yenagoa,4.9247,6.2642,72.55,98,94,2.84,NG,1632281041
Whyalla,-33.0333,137.5833,57.09,77,90,6.91,AU,1632281042
Luoyang,34.6836,112.4536,81.55,50,53,5.66,CN,1632280794
Uspenskoye,44.8311,41.3927,54.05,90,100,6.6,RU,1632281042
Aloleng,16.1307,119.7824,85.35,69,68,3.44,PH,1632281042
Chaman,30.9236,66.4512,77.45,10,0,2.51,PK,1632281043
Guerrero Negro,27.9769,-114.0611,75.36,66,100,10.85,MX,1632281043
